Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 02:01;6.42;0;6.42;0;6.42;0;;
22.07.2017 02:02;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 02:03;6.44;0;6.44;0;6.44;0;;
22.07.2017 02:04;6.436666667;0;6.436666667;0;6.436666667;0;;
22.07.2017 02:05;6.596666667;0;6.596666667;0;6.596666667;0;;
22.07.2017 02:06;7.62;0;7.62;0;7.62;0;;
22.07.2017 02:07;7.61;0;7.61;0;7.61;0;;
22.07.2017 02:08;7.623333333;0;7.623333333;0;7.623333333;0;;
22.07.2017 02:09;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 02:10;7.153333333;0;7.153333333;0;7.153333333;0;;
22.07.2017 02:11;7.156666667;0;7.156666667;0;7.156666667;0;;
22.07.2017 02:12;7.146666667;0;7.146666667;0;7.146666667;0;;
22.07.2017 02:13;7.156666667;0;7.156666667;0;7.156666667;0;;
22.07.2017 02:14;6.91;0;6.91;0;6.91;0;;
22.07.2017 02:15;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 02:16;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 02:17;6.92;0;6.92;0;6.92;0;;
22.07.2017 02:18;6.9;0;6.9;0;6.9;0;;
22.07.2017 02:19;6.91;0;6.91;0;6.91;0;;
22.07.2017 02:20;6.893333333;0;6.893333333;0;6.893333333;0;;
22.07.2017 02:21;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:22;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 02:23;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 02:24;6.95;0;6.95;0;6.95;0;;
22.07.2017 02:25;6.93;0;6.93;0;6.93;0;;
22.07.2017 02:26;6.92;0;6.92;0;6.92;0;;
22.07.2017 02:27;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 02:28;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 02:29;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 02:30;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:31;6.91;0;6.91;0;6.91;0;;
22.07.2017 02:32;6.92;0;6.92;0;6.92;0;;
22.07.2017 02:33;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:34;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 02:35;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:36;6.93;0;6.93;0;6.93;0;;
22.07.2017 02:37;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 02:38;6.946666667;0;6.946666667;0;6.946666667;0;;
22.07.2017 02:39;6.943333333;0;6.943333333;0;6.943333333;0;;
22.07.2017 02:40;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 02:41;6.936666667;0;6.936666667;0;6.936666667;0;;
22.07.2017 02:42;6.9;0;6.9;0;6.9;0;;
22.07.2017 02:43;6.91;0;6.91;0;6.91;0;;
22.07.2017 02:44;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 02:45;6.93;0;6.93;0;6.93;0;;
22.07.2017 02:46;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:47;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 02:48;6.916666667;0;6.916666667;0;6.916666667;0;;
22.07.2017 02:49;6.93;0;6.93;0;6.93;0;;
22.07.2017 02:50;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 02:51;6.936666667;0;6.936666667;0;6.936666667;0;;
22.07.2017 02:52;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 02:53;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 02:54;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 02:55;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 02:56;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 02:57;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 02:58;6.916666667;0;6.916666667;0;6.916666667;0;;
22.07.2017 02:59;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 03:00;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 03:01;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 03:02;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 03:03;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 03:04;6.943333333;0;6.943333333;0;6.943333333;0;;
22.07.2017 03:05;6.946666667;0;6.946666667;0;6.946666667;0;;
22.07.2017 03:06;6.956666667;0;6.956666667;0;6.956666667;0;;
22.07.2017 03:07;6.453333333;0;6.453333333;0;6.453333333;0;;
